,CN1,CN2,CN3,CN4,diameter_2radius,diameter_pca,diameter_xy,MIAD,surface ratio,Departure from sphere(moment),flattening_moment,flattening_pca,atom_number,ellipsoid_a,ellipsoid_b,ellipsoid_c
61,7.3,3.22,8.35,3.65,12.11,12.6,11.59,5.87,0.85,0.032471,0.87,0.75,46,4.579246114969211,5.989387604925729,6.111972393921287
62,7.27,2.98,8.2,3.32,11.88,14.72,11.69,5.62,0.85,0.034057,0.88,0.75,41,4.376960948264183,5.454390560482295,6.2874097194358285
63,7.49,3.02,9.06,3.7,12.15,14.96,10.39,5.83,0.85,0.007904,0.96,0.98,47,5.0067614150543545,5.964634358919998,5.983628137406495
64,7.4,3.15,8.85,3.66,12.1,15.23,10.14,5.85,0.85,0.00642,0.97,0.91,47,6.07241899125289,5.364869163915697,5.4405612816627835
65,7.71,2.75,9.33,3.79,12.04,17.59,11.79,5.89,0.85,0.037889,0.92,0.82,48,4.547453193826557,6.096636106829165,5.468754794239064
66,7.29,3.05,8.24,3.43,12.06,16.42,9.94,5.66,0.86,0.037942,1.0,0.77,42,4.40725527280516,6.1834370026094145,5.196141271997013
67,7.64,2.59,8.73,3.82,11.77,18.06,11.77,5.71,0.86,0.0,1.0,1.0,44,5.879557162012354,5.876331764452527,5.882780788247631
68,7.27,3.14,8.36,3.55,12.12,16.31,10.1,5.76,0.86,0.033838,0.97,0.68,44,4.545612464401039,6.1012469338151565,5.683467953684441
69,7.47,3.14,8.98,3.76,12.1,17.2,11.67,5.97,0.86,0.043721,0.94,0.8,49,4.683969694254944,6.1660114770943,5.8083238081603605
70,7.45,3.29,8.9,3.84,12.08,17.65,11.73,6.04,0.86,0.022723,0.97,0.89,51,4.836466141471644,6.4078673452706525,5.4645074533059494
